[2026-06-01 13:41:24.297518] WS-START: start() called with 4 tickers, rest_fallback_mode=False
[2026-06-01 13:46:04.451363] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 13:51:45.255531] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 13:56:52.962911] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 14:12:42.039030] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 15:30:36.930558] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 15:39:06.508647] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 15:42:21.197893] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 15:50:49.499413] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 15:54:30.830553] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 15:59:13.757810] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 16:03:13.835097] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 16:06:37.608220] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 16:10:04.658268] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 16:13:20.070848] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 16:17:50.649851] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 16:21:47.116459] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 16:24:33.321656] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 16:28:11.880814] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 16:34:28.481327] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 16:39:05.907826] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 16:43:42.238066] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 18:07:05.616014] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 18:09:29.533524] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 18:15:04.419261] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-02 10:15:18.476816] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-02 10:36:44.534376] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-02 10:45:33.839877] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-02 10:56:35.326122] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-02 11:19:39.098139] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-02 11:26:54.599387] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-02 11:30:41.701454] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-02 11:33:42.800810] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-02 11:37:30.287268] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-02 11:41:12.612567] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-02 11:46:58.564110] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-02 13:14:46.486474] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-02 13:36:57.935935] WS-START: start() called with 5 tickers, rest_fallback_mode=False
